Color Difference Sorting: World Wide Web Participant Rankings
http://inventoland.net/data/published/color_difference_sorting.html
File created September 2014 by Nathan Moroney
participant_id block_id rank_1 rank_2 rank_3 rank_4 rank_5 rank_6 rank_7 rank_8 rank_9 seconds_elapsed
1	116	17	11	16	13	19	14	18	12	15	37
2	118	13	16	14	18	19	11	12	17	15	79
3	121	19	14	13	11	12	15	17	18	16	111
4	119	15	13	11	12	16	18	14	19	17	121
5	102	19	15	17	12	16	14	13	18	11	176
6	113	13	18	11	12	14	16	15	19	17	66
7	101	13	15	19	11	17	18	16	14	12	56
8	109	13	19	12	16	14	18	17	15	11	32
9	101	15	12	16	19	18	13	11	14	17	165
10	105	11	15	19	12	18	14	16	17	13	91
11	108	16	18	19	13	14	15	11	12	17	127
12	111	13	18	16	14	11	12	19	17	15	36
13	103	14	16	11	18	15	19	12	17	13	95
14	121	12	13	11	18	16	17	14	15	19	80
15	113	13	18	17	12	19	15	14	16	11	116
16	102	12	19	11	18	14	15	13	17	16	171
17	101	12	17	15	11	13	16	19	18	14	76
18	107	19	17	15	12	18	11	13	16	14	102
19	106	19	12	11	15	18	13	14	16	17	83
20	101	15	12	13	19	14	16	18	17	11	65
21	114	13	15	16	19	14	11	18	12	17	244
22	114	17	12	18	11	19	16	14	15	13	132
23	113	13	18	16	12	11	17	14	15	19	147
24	101	15	17	13	11	16	18	14	19	12	39
25	117	14	17	11	18	15	13	16	19	12	31
26	104	19	12	15	18	13	17	16	11	14	65
27	114	14	15	16	13	19	11	18	12	17	69
28	111	15	19	18	12	13	17	14	11	16	107
29	112	12	14	19	11	17	13	16	18	15	300
30	117	16	11	14	12	19	17	18	13	15	107
31	107	16	18	11	13	15	12	19	14	17	252
32	121	17	16	18	15	14	13	11	19	12	97
33	114	12	15	13	19	14	16	18	11	17	108
34	119	13	15	14	12	11	18	16	19	17	92
35	117	13	15	18	14	19	17	12	11	16	42
36	114	11	15	19	13	14	12	18	16	17	60
37	110	13	18	17	19	15	11	16	14	12	151
38	114	14	15	13	16	19	18	12	11	17	156
39	115	14	19	17	13	15	16	12	18	11	117
40	109	19	15	13	18	12	17	14	16	11	62
41	105	18	17	11	14	12	13	19	16	15	107
42	116	13	16	17	18	11	19	15	14	12	94
43	105	11	15	17	14	12	19	18	16	13	94
44	106	19	13	11	15	12	16	14	17	18	104
45	117	19	13	15	18	12	14	11	16	17	159
46	115	16	15	11	13	18	17	19	14	12	146
47	105	16	13	11	15	14	19	12	17	18	60
48	110	15	14	17	16	18	19	11	13	12	300
49	115	16	18	11	12	15	13	17	19	14	59
50	115	15	16	11	13	17	18	12	19	14	107
51	106	15	19	13	18	11	14	12	16	17	262
52	110	17	14	15	13	18	19	16	11	12	107
53	104	19	12	17	15	18	16	11	14	13	90
54	107	17	13	19	16	14	15	12	18	11	173
55	119	11	14	13	12	17	18	19	15	16	96
56	104	15	12	19	17	18	13	16	14	11	251
57	113	13	14	17	16	19	15	12	11	18	211
58	120	17	16	15	18	14	12	13	11	19	110
59	101	15	17	19	16	18	12	13	11	14	35
60	103	15	17	14	11	18	19	16	12	13	184
61	104	19	18	12	15	13	11	14	17	16	110
62	114	13	15	16	14	11	18	19	12	17	78
63	108	18	11	15	13	19	16	14	12	17	82
64	102	15	12	11	18	16	17	19	14	13	116
65	112	14	15	18	16	17	12	11	19	13	58
66	103	11	12	19	15	17	18	16	13	14	85
67	109	17	12	16	19	13	18	15	14	11	93
68	109	12	16	17	19	18	13	15	14	11	52
69	109	14	13	19	15	18	17	12	16	11	105
70	113	11	18	16	12	19	14	15	17	13	181
71	105	11	12	18	15	14	19	13	16	17	123
72	119	15	11	16	13	12	17	14	18	19	83
73	117	13	18	15	12	14	11	19	16	17	39
74	102	19	11	15	13	18	14	17	16	12	111
75	111	18	19	17	14	11	16	13	15	12	157
76	113	13	12	11	17	14	15	16	18	19	215
77	121	18	14	16	13	19	12	11	17	15	123
78	105	16	13	19	12	15	14	11	17	18	179
79	111	14	19	17	16	11	18	13	12	15	300
80	120	12	18	17	16	11	14	15	19	13	230
81	115	16	11	17	15	18	14	13	12	19	117
82	111	12	15	13	16	18	11	14	17	19	109
83	113	13	17	18	16	11	12	14	19	15	86
84	113	18	13	12	17	14	11	16	15	19	88
85	102	19	16	13	17	12	11	18	15	14	99
86	103	11	18	19	15	16	12	17	13	14	118
87	116	13	17	18	16	19	15	11	12	14	214
88	112	19	17	13	11	16	14	15	18	12	93
89	107	18	11	16	19	12	17	15	13	14	86
90	102	17	15	19	18	11	16	13	12	14	177
91	117	14	19	11	15	18	13	16	12	17	92
92	104	19	12	18	15	13	17	11	16	14	62
93	114	17	15	13	16	19	18	14	11	12	245
94	109	12	13	19	17	14	11	15	16	18	84
95	117	16	11	14	19	15	13	12	18	17	63
96	101	15	12	18	13	19	16	14	11	17	57
97	113	13	18	16	11	12	15	14	17	19	66
98	113	13	18	11	16	12	14	15	17	19	62
99	109	19	13	12	10	14	16	15	11	18	57
100	113	13	18	11	16	12	14	15	17	19	37
101	103	14	18	19	11	17	12	16	15	13	49
102	111	15	11	16	18	19	17	14	13	12	49
103	103	18	14	11	19	17	15	16	13	12	67
104	117	15	14	13	18	17	11	19	16	12	51
105	106	12	15	18	16	11	14	13	17	19	74
106	121	19	11	12	13	18	16	14	17	15	163
107	110	15	16	17	19	14	12	13	11	18	56
108	106	13	19	15	11	12	14	17	16	18	61
109	101	15	16	14	19	18	11	13	12	17	102
110	116	12	11	19	16	18	17	14	15	13	297
111	110	18	11	15	19	17	13	16	14	12	110
112	104	19	12	15	11	17	13	14	18	16	109
113	106	18	14	19	13	11	15	12	17	16	174
114	118	16	13	18	11	19	12	17	14	15	61
115	110	14	11	15	13	12	17	16	18	19	113
116	121	18	16	17	12	15	14	19	13	11	257
117	112	19	13	17	18	12	14	15	16	11	101
118	117	16	17	14	19	11	18	15	13	12	52
119	113	13	18	17	12	14	15	11	16	19	257
120	118	13	18	16	19	11	14	15	17	12	71
121	102	12	14	13	19	16	18	15	17	11	60
122	121	19	15	17	13	14	18	16	11	12	52
123	102	12	13	14	17	19	16	18	15	11	50
124	117	16	12	19	15	18	11	13	17	14	60
125	116	13	17	15	16	18	11	14	19	12	53
126	108	19	17	12	15	13	14	16	18	11	69
127	120	15	11	14	16	17	19	18	13	12	116
128	116	17	11	15	16	12	13	19	18	14	234
129	108	12	19	17	15	14	13	18	16	11	188
130	102	14	12	13	16	18	19	17	15	11	74
131	106	16	15	18	12	14	19	17	13	11	83
132	117	19	16	12	17	11	18	15	13	14	63
133	120	15	11	19	16	17	14	18	12	13	126
134	106	15	12	16	18	14	17	19	13	11	58
135	118	16	13	18	19	12	14	17	15	11	181
136	106	16	15	12	18	19	14	11	17	13	58
137	114	11	14	19	12	13	15	17	16	18	83
138	112	17	19	11	13	16	18	15	12	14	108
139	105	17	16	18	11	14	13	19	12	15	53
140	114	11	13	17	14	16	18	19	15	12	75
141	102	12	13	14	19	18	16	15	17	11	46
142	101	15	17	11	13	19	18	14	12	16	89
143	109	16	15	19	13	17	14	18	12	11	56
144	119	15	13	16	14	11	17	12	18	19	42
145	104	19	14	15	12	17	13	18	11	16	70
146	112	13	17	19	18	11	16	12	14	15	46
147	101	15	17	12	16	18	14	13	19	11	124
148	113	13	12	11	18	14	17	15	16	19	39
149	101	15	19	13	18	14	12	17	11	16	161
150	120	17	15	14	13	18	16	11	12	19	18
151	113	13	12	18	15	11	17	14	16	19	47
152	120	15	19	14	11	12	16	17	18	13	88
153	112	17	13	19	11	16	12	18	15	14	82
154	112	17	13	19	16	11	18	15	12	14	48
