-9.16	2.0	0.0	#241b00
-9.16	1.732051	1.0	#152003
-9.16	1.0	1.732051	#00210d
-9.16	0.0	2.0	#00211a
-9.16	-1.0	1.732051	#001e25
-9.16	-1.732051	1.0	#001a2d
-9.16	-2.0	0.0	#12162f
-9.16	-1.732051	-1.0	#1f122b
-9.16	-1.0	-1.732051	#281023
-9.16	-0.0	-2.0	#2d0f17
-9.16	1.0	-1.732051	#2e110b
-9.16	1.732051	-1.0	#2b1502
-9.16	0.0	4.0	#001f14
-9.16	-2.0	3.464102	#001f2e
-9.16	-3.464102	2.0	#00173d
-9.16	-4.0	0.0	#0e0d42
-9.16	-3.464102	-2.0	#24053b
-9.16	-2.0	-3.464102	#310129
-9.16	-0.0	-4.0	#360011
-9.16	2.0	-3.464102	#350000
-9.16	-5.196152	3.0	#000f4e
-9.16	-6.0	0.0	#130057
-9.16	-5.196152	-3.0	#2a004c
-9.16	-3.0	-5.196152	#380030
-9.16	-0.0	-6.0	#3a0009
-9.16	-8.0	0.0	#1d006d
-9.16	-6.928203	-4.0	#31005e
-9.16	-4.0	-6.928203	#3e0035
-9.16	-10.0	0.0	#280084
-9.16	-8.660254	-5.0	#390070
-9.16	-5.0	-8.660254	#42003a
-9.16	-10.392305	-6.0	#410084
-9.16	-6.0	-10.392305	#46003f
-7.47	2.0	0.0	#38311a
-7.47	1.732051	1.0	#2c351e
-7.47	1.0	1.732051	#1c3726
-7.47	0.0	2.0	#0d3630
-7.47	-1.0	1.732051	#0d3439
-7.47	-1.732051	1.0	#19303f
-7.47	-2.0	0.0	#272c41
-7.47	-1.732051	-1.0	#33293e
-7.47	-1.0	-1.732051	#3c2737
-7.47	-0.0	-2.0	#42272d
-7.47	1.0	-1.732051	#432923
-7.47	1.732051	-1.0	#402d1c
-7.47	2.0	3.464102	#003917
-7.47	0.0	4.0	#00392e
-7.47	-2.0	3.464102	#003541
-7.47	-3.464102	2.0	#002e4e
-7.47	-4.0	0.0	#212751
-7.47	-3.464102	-2.0	#37214b
-7.47	-2.0	-3.464102	#461d3d
-7.47	-0.0	-4.0	#4e1b29
-7.47	2.0	-3.464102	#4f1d13
-7.47	0.0	6.0	#00392a
-7.47	-3.0	5.196152	#003649
-7.47	-5.196152	3.0	#002b5c
-7.47	-6.0	0.0	#1d2062
-7.47	-5.196152	-3.0	#3b1659
-7.47	-3.0	-5.196152	#4e0f43
-7.47	-0.0	-6.0	#560924
-7.47	3.0	-5.196152	#540a00
-7.47	-4.0	6.928203	#003550
-7.47	-6.928203	4.0	#00276a
-7.47	-8.0	0.0	#1e1573
-7.47	-6.928203	-4.0	#400267
-7.47	-4.0	-6.928203	#550048
-7.47	-0.0	-8.0	#5b001e
-7.47	-8.660254	5.0	#002079
-7.47	-10.0	0.0	#220085
-7.47	-8.660254	-5.0	#450075
-7.47	-5.0	-8.660254	#5a004d
-7.47	-0.0	-10.0	#5e0018
-7.47	-12.0	0.0	#290097
-7.47	-10.392305	-6.0	#4b0084
-7.47	-6.0	-10.392305	#600052
-7.47	-0.0	-12.0	#600011
-7.47	-12.124356	-7.0	#510093
-7.47	-7.0	-12.124356	#640057
-7.47	-0.0	-14.0	#60000a
-7.47	-13.856406	-8.0	#5800a3
-7.47	-8.0	-13.856406	#68005c
-7.47	-15.588457	-9.0	#5e00b3
-7.47	-9.0	-15.588457	#6c0060
-5.78	2.0	-0.0	#4e4831
-5.78	1.732051	1.0	#424c35
-5.78	1.0	1.732051	#344d3d
-5.78	0.0	2.0	#2a4d47
-5.78	-1.0	1.732051	#294a4f
-5.78	-1.732051	1.0	#314756
-5.78	-2.0	0.0	#3e4357
-5.78	-1.732051	-1.0	#4a4054
-5.78	-1.0	-1.732051	#533e4d
-5.78	-0.0	-2.0	#593e43
-5.78	1.0	-1.732051	#5a403a
-5.78	1.732051	-1.0	#574433
-5.78	4.0	0.0	#564814
-5.78	3.464102	2.0	#3d4f1e
-5.78	2.0	3.464102	#125231
-5.78	0.0	4.0	#005146
-5.78	-2.0	3.464102	#004d58
-5.78	-3.464102	2.0	#114664
-5.78	-4.0	0.0	#363e68
-5.78	-3.464102	-2.0	#4d3862
-5.78	-2.0	-3.464102	#5e3453
-5.78	-0.0	-4.0	#673340
-5.78	2.0	-3.464102	#68362c
-5.78	3.464102	-2.0	#633e1b
-5.78	5.196152	3.0	#355000
-5.78	3.0	5.196152	#00521f
-5.78	0.0	6.0	#005343
-5.78	-3.0	5.196152	#004e60
-5.78	-5.196152	3.0	#004472
-5.78	-6.0	0.0	#303978
-5.78	-5.196152	-3.0	#51306f
-5.78	-3.0	-5.196152	#662959
-5.78	-0.0	-6.0	#71263c
-5.78	3.0	-5.196152	#72291b
-5.78	5.196152	-3.0	#6b3400
-5.78	0.0	8.0	#00523e
-5.78	-4.0	6.928203	#004e67
-5.78	-6.928203	4.0	#004180
-5.78	-8.0	0.0	#2d3288
-5.78	-6.928203	-4.0	#55257c
-5.78	-4.0	-6.928203	#6e1b5f
-5.78	-0.0	-8.0	#791437
-5.78	4.0	-6.928203	#771504
-5.78	0.0	10.0	#004f37
-5.78	-5.0	8.660254	#004e6e
-5.78	-8.660254	5.0	#003d8e
-5.78	-10.0	0.0	#2d2899
-5.78	-8.660254	-5.0	#5a148a
-5.78	-5.0	-8.660254	#750165
-5.78	-0.0	-10.0	#7f0031
-5.78	-6.0	10.392305	#004d76
-5.78	-10.392305	6.0	#00379d
-5.78	-12.0	0.0	#2f18ab
-5.78	-10.392305	-6.0	#5f0098
-5.78	-6.0	-10.392305	#7b006a
-5.78	-0.0	-12.0	#83002b
-5.78	-12.124356	7.0	#0030ab
-5.78	-14.0	0.0	#3500bd
-5.78	-12.124356	-7.0	#6400a7
-5.78	-7.0	-12.124356	#81006f
-5.78	-0.0	-14.0	#850024
-5.78	-13.856406	8.0	#0025ba
-5.78	-16.0	0.0	#3c00cf
-5.78	-13.856406	-8.0	#6a00b5
-5.78	-8.0	-13.856406	#860074
-5.78	-0.0	-16.0	#87001e
-5.78	-15.588457	-9.0	#7000c4
-5.78	-9.0	-15.588457	#8b0079
-5.78	-17.320508	-10.0	#7600d4
-5.78	-10.0	-17.320508	#8f007d
-5.78	-11.0	-19.052559	#930082
-4.07	2.0	0.0	#666049
-4.07	1.732051	1.0	#5a634d
-4.07	1.0	1.732051	#4c6554
-4.07	0.0	2.0	#43655e
-4.07	-1.0	1.732051	#426267
-4.07	-1.732051	1.0	#495f6d
-4.07	-2.0	0.0	#555b6f
-4.07	-1.732051	-1.0	#61576c
-4.07	-1.0	-1.732051	#6b5665
-4.07	-0.0	-2.0	#71565b
-4.07	1.0	-1.732051	#735851
-4.07	1.732051	-1.0	#6f5b4b
-4.07	4.0	0.0	#6e6030
-4.07	3.464102	2.0	#556838
-4.07	2.0	3.464102	#336b4a
-4.07	0.0	4.0	#046a5e
-4.07	-2.0	3.464102	#036570
-4.07	-3.464102	2.0	#2f5e7c
-4.07	-4.0	0.0	#4d5680
-4.07	-3.464102	-2.0	#65507a
-4.07	-2.0	-3.464102	#774c6b
-4.07	-0.0	-4.0	#814c58
-4.07	2.0	-3.464102	#834f44
