zip	latitude	longitude
01730	42.5	-71.3
01731	42.5	-71.3
01740	42.4	-71.6
01741	42.5	-71.4
01742	42.5	-71.4
01745	42.3	-71.5
01746	42.2	-71.4
01747	42.1	-71.5
01748	42.2	-71.5
01749	42.4	-71.6
01752	42.4	-71.5
01754	42.4	-71.5
01756	42.1	-71.5
01757	42.2	-71.5
01760	42.3	-71.4
01770	42.2	-71.4
01772	42.3	-71.5
01773	42.4	-71.3
01775	42.4	-71.5
01776	42.4	-71.4
01778	42.3	-71.4
01784	42.2	-71.6
01801	42.5	-71.2
01803	42.5	-71.2
01805	42.5	-71.2
01810	42.6	-71.2
01812	42.6	-71.2
01813	42.5	-71.2
01815	42.5	-71.2
01821	42.6	-71.3
01822	42.6	-71.3
01824	42.6	-71.4
01826	42.7	-71.3
01827	42.7	-71.5
01830	42.8	-71.1
01831	42.8	-71.1
01832	42.8	-71.1
01833	42.7	-71.0
01834	42.8	-71.0
01835	42.8	-71.1
01840	42.7	-71.2
01841	42.7	-71.2
01842	42.7	-71.2
01843	42.7	-71.2
01844	42.7	-71.2
01845	42.7	-71.1
01850	42.7	-71.3
01851	42.6	-71.3
01852	42.6	-71.3
01853	42.6	-71.3
01854	42.6	-71.3
01860	42.8	-71.0
01862	42.6	-71.3
01863	42.6	-71.4
01864	42.6	-71.1
01865	42.5	-71.3
01866	42.5	-71.2
01867	42.5	-71.1
01876	42.6	-71.2
01879	42.7	-71.4
01880	42.5	-71.1
01885	42.7	-71.1
01886	42.6	-71.4
01887	42.6	-71.2
01888	42.5	-71.2
01889	42.6	-71.1
01890	42.5	-71.1
01899	42.7	-71.1
01901	42.5	-70.9
01902	42.5	-70.9
01903	42.5	-70.9
01904	42.5	-71.0
01905	42.5	-71.0
01906	42.5	-71.0
01907	42.5	-70.9
01908	42.4	-70.9
01910	42.5	-71.0
01913	42.9	-70.9
01915	42.6	-70.9
01921	42.7	-71.0
01922	42.8	-70.9
01923	42.6	-70.9
01929	42.6	-70.8
01930	42.6	-70.7
01931	42.6	-70.7
01936	42.6	-70.9
01937	42.6	-71.0
01938	42.7	-70.8
01940	42.5	-71.0
01944	42.6	-70.8
01945	42.5	-70.9
01949	42.6	-71.0
01950	42.8	-70.9
01951	42.8	-70.8
01952	42.9	-70.9
01960	42.5	-71.0
01961	42.6	-70.9
01965	42.6	-70.8
01966	42.7	-70.6
01969	42.7	-70.9
01970	42.5	-70.9
01971	42.6	-70.9
01982	42.6	-70.9
01983	42.6	-70.9
01984	42.6	-70.9
01985	42.8	-71.0
02018	42.2	-70.9
02019	42.1	-71.5
02020	42.1	-70.6
02021	42.2	-71.1
02025	42.2	-70.8
02026	42.2	-71.2
02027	42.2	-71.1
02030	42.2	-71.3
02032	42.2	-71.2
02035	42.1	-71.2
02038	42.1	-71.4
02040	42.2	-70.7
02041	42.1	-70.6
02043	42.2	-70.9
02044	42.2	-70.9
02045	42.3	-70.9
02047	42.1	-70.7
02048	42.0	-71.2
02050	42.1	-70.7
02051	42.2	-70.7
02052	42.2	-71.3
02053	42.2	-71.4
02054	42.2	-71.4
02055	42.2	-70.8
02056	42.1	-71.3
02059	42.1	-70.8
02060	42.2	-70.8
02061	42.2	-70.8
02062	42.2	-71.2
02065	42.1	-70.7
02066	42.2	-70.8
02067	42.1	-71.2
02070	42.0	-71.4
02071	42.1	-71.3
02072	42.1	-71.1
02081	42.1	-71.3
02090	42.2	-71.2
02093	42.1	-71.3
02108	42.4	-71.1
02109	42.4	-71.1
02110	42.4	-71.1
02111	42.4	-71.1
02112	42.4	-71.1
02113	42.4	-71.1
02114	42.4	-71.1
02115	42.3	-71.1
02116	42.3	-71.1
02117	42.4	-71.1
02118	42.3	-71.1
02119	42.3	-71.1
02120	42.3	-71.1
02121	42.3	-71.1
02122	42.3	-71.1
02123	42.3	-70.9
02124	42.3	-71.1
02125	42.3	-71.1
02126	42.3	-71.1
02127	42.3	-71.0
02128	42.4	-71.0
02129	42.4	-71.1
02130	42.3	-71.1
02131	42.3	-71.1
02132	42.3	-71.2
02133	42.4	-71.1
02134	42.4	-71.1
02135	42.3	-71.2
02136	42.3	-71.1
02137	42.2	-71.1
02138	42.4	-71.1
02139	42.4	-71.1
02140	42.4	-71.1
02141	42.4	-71.1
02142	42.4	-71.1
02143	42.4	-71.1
02144	42.4	-71.1
02145	42.4	-71.1
02148	42.4	-71.1
02149	42.4	-71.1
02150	42.4	-71.0
02151	42.4	-71.0
02152	42.4	-71.0
02153	42.4	-71.1
